ID,Pred
2026_1101_1102,0.70642
2026_1101_1103,0.21406
2026_1101_1104,0.13392
2026_1101_1105,0.57851
2026_1101_1106,0.58169
2026_1101_1107,0.56313
2026_1101_1108,0.69278
2026_1101_1110,0.45221
2026_1101_1111,0.30424
2026_1101_1112,0.09684
2026_1101_1113,0.21686
2026_1101_1114,0.52330
2026_1101_1115,0.63470
2026_1101_1116,0.14231
2026_1101_1117,0.28740
2026_1101_1119,0.66835
2026_1101_1120,0.18214
2026_1101_1122,0.29757
2026_1101_1123,0.45572
2026_1101_1124,0.19031
2026_1101_1125,0.25023
2026_1101_1126,0.45108
2026_1101_1127,0.72450
2026_1101_1129,0.21828
2026_1101_1130,0.28325
2026_1101_1131,0.40466
2026_1101_1132,0.29353
2026_1101_1133,0.22251
2026_1101_1135,0.44863
2026_1101_1136,0.59324
2026_1101_1137,0.59404
2026_1101_1138,0.33641
2026_1101_1139,0.18826
2026_1101_1140,0.12806
2026_1101_1141,0.57705
2026_1101_1142,0.39195
2026_1101_1143,0.13935
2026_1101_1144,0.35314
2026_1101_1145,0.59855
2026_1101_1146,0.25135
2026_1101_1148,0.54372
2026_1101_1149,0.44665
2026_1101_1150,0.31725
2026_1101_1151,0.49907
2026_1101_1152,0.59655
2026_1101_1153,0.16405
2026_1101_1154,0.69309
2026_1101_1155,0.14589
2026_1101_1156,0.72475
2026_1101_1157,0.37395
2026_1101_1158,0.31605
2026_1101_1159,0.39574
2026_1101_1160,0.26263
2026_1101_1161,0.46615
2026_1101_1162,0.32091
2026_1101_1163,0.11051
2026_1101_1164,0.74649
2026_1101_1165,0.37562
2026_1101_1166,0.18239
2026_1101_1167,0.63983
2026_1101_1168,0.41645
2026_1101_1169,0.31041
2026_1101_1170,0.60139
2026_1101_1171,0.52042
2026_1101_1172,0.19135
2026_1101_1173,0.16391
2026_1101_1174,0.50371
2026_1101_1175,0.65849
2026_1101_1176,0.49191
2026_1101_1177,0.21495
2026_1101_1178,0.40796
2026_1101_1179,0.25161
2026_1101_1180,0.28660
2026_1101_1181,0.10807
2026_1101_1182,0.18587
2026_1101_1183,0.55532
2026_1101_1184,0.55326
2026_1101_1185,0.47434
2026_1101_1186,0.38569
2026_1101_1187,0.39854
2026_1101_1188,0.42546
2026_1101_1189,0.30186
2026_1101_1190,0.21932
2026_1101_1191,0.49387
2026_1101_1192,0.60384
2026_1101_1193,0.41702
2026_1101_1194,0.18921
2026_1101_1195,0.49441
2026_1101_1196,0.09446
2026_1101_1197,0.45949
2026_1101_1198,0.35777
2026_1101_1199,0.22680
2026_1101_1200,0.23998
2026_1101_1201,0.28869
2026_1101_1202,0.20464
2026_1101_1203,0.27848
2026_1101_1204,0.36027
2026_1101_1205,0.78703
2026_1101_1206,0.16773
2026_1101_1207,0.18587
2026_1101_1208,0.17901
2026_1101_1209,0.57587
2026_1101_1210,0.36254
2026_1101_1211,0.09943
2026_1101_1212,0.62815
2026_1101_1213,0.13986
2026_1101_1214,0.44455
2026_1101_1217,0.26279
2026_1101_1218,0.22105
2026_1101_1219,0.20494
2026_1101_1220,0.17709
2026_1101_1221,0.60724
2026_1101_1222,0.11033
2026_1101_1223,0.56183
2026_1101_1224,0.27826
2026_1101_1225,0.27115
2026_1101_1226,0.44539
2026_1101_1227,0.20713
2026_1101_1228,0.10626
2026_1101_1229,0.22169
2026_1101_1230,0.59305
2026_1101_1231,0.19532
2026_1101_1232,0.30153
2026_1101_1233,0.32847
2026_1101_1234,0.14871
2026_1101_1235,0.10533
2026_1101_1236,0.47833
2026_1101_1237,0.61684
2026_1101_1238,0.69701
2026_1101_1239,0.44870
2026_1101_1240,0.25931
2026_1101_1241,0.26220
2026_1101_1242,0.10758
2026_1101_1243,0.18648
2026_1101_1244,0.18427
2026_1101_1245,0.29174
2026_1101_1246,0.10920
2026_1101_1247,0.32062
2026_1101_1248,0.61590
2026_1101_1249,0.51702
2026_1101_1250,0.43168
2026_1101_1251,0.35050
2026_1101_1252,0.50921
2026_1101_1253,0.51872
2026_1101_1254,0.28826
2026_1101_1255,0.37804
2026_1101_1256,0.30235
2026_1101_1257,0.13048
2026_1101_1258,0.33846
2026_1101_1259,0.58499
2026_1101_1260,0.38968
2026_1101_1261,0.19041
2026_1101_1262,0.50339
2026_1101_1263,0.60316
2026_1101_1264,0.65143
2026_1101_1265,0.30214
2026_1101_1266,0.25161
2026_1101_1267,0.27578
2026_1101_1268,0.35345
2026_1101_1269,0.42775
2026_1101_1270,0.13712
2026_1101_1271,0.71867
2026_1101_1272,0.27581
2026_1101_1273,0.26758
2026_1101_1274,0.12912
2026_1101_1275,0.20920
2026_1101_1276,0.09725
2026_1101_1277,0.10841
2026_1101_1278,0.19450
2026_1101_1279,0.14094
2026_1101_1280,0.18668
2026_1101_1281,0.22979
2026_1101_1282,0.76323
2026_1101_1283,0.36751
2026_1101_1284,0.28309
2026_1101_1285,0.50958
2026_1101_1286,0.18626
2026_1101_1287,0.46458
2026_1101_1288,0.66227
2026_1101_1290,0.82477
2026_1101_1291,0.38053
2026_1101_1292,0.30328
2026_1101_1293,0.26503
2026_1101_1294,0.26306
2026_1101_1295,0.22424
2026_1101_1296,0.66495
2026_1101_1297,0.35331
2026_1101_1298,0.19537
2026_1101_1299,0.56661
2026_1101_1300,0.62885
2026_1101_1301,0.19704
2026_1101_1303,0.49577
2026_1101_1304,0.11724
2026_1101_1305,0.16363
2026_1101_1306,0.61612
2026_1101_1307,0.15840
2026_1101_1308,0.32149
2026_1101_1309,0.48754
2026_1101_1310,0.60590
2026_1101_1311,0.54084
2026_1101_1312,0.58110
2026_1101_1313,0.53679
2026_1101_1314,0.12434
2026_1101_1315,0.50046
2026_1101_1316,0.71534
2026_1101_1317,0.23312
2026_1101_1318,0.54359
2026_1101_1319,0.64299
2026_1101_1320,0.17378
2026_1101_1321,0.19404
2026_1101_1322,0.57380
2026_1101_1323,0.18440
2026_1101_1324,0.32824
2026_1101_1325,0.47323
2026_1101_1326,0.16204
2026_1101_1328,0.23368
2026_1101_1329,0.18974
2026_1101_1330,0.43555
2026_1101_1331,0.57166
2026_1101_1332,0.19773
2026_1101_1333,0.31083
2026_1101_1334,0.18123
2026_1101_1335,0.34374
2026_1101_1336,0.33883
2026_1101_1337,0.56455
2026_1101_1338,0.16967
2026_1101_1339,0.43314
2026_1101_1340,0.35271
